Mat Object: (p_) 1 MPI process
  type: seqaij
row 153: (139, -0.559383)  (142, -0.432294)  (153, 1.53504)  (169, -0.543365) 
row 154: (140, -0.592873)  (141, -0.575363)  (154, 1.71152)  (170, -0.543283) 
row 155: (141, -0.641439)  (155, 1.82249)  (165, -0.648095)  (171, -0.532956) 
row 156: (142, -0.450129)  (143, -0.307702)  (156, 1.28048)  (172, -0.522646) 
row 157: (143, -0.704143)  (144, -0.508126)  (157, 1.67834)  (173, -0.466074) 
row 158: (144, -0.38592)  (158, 1.09844)  (159, -0.313902)  (174, -0.398616) 
row 159: (145, -0.287538)  (158, -0.313902)  (159, 0.848699)  (175, -0.247259) 
row 160: (145, -0.370447)  (160, 0.957764)  (176, -0.17692)  (542, -0.410396) 
row 161: (146, -0.601681)  (147, -0.605746)  (161, 1.71219)  (177, -0.504759) 
row 162: (146, -0.597056)  (148, -0.528823)  (162, 1.61432)  (178, -0.48844) 
row 163: (147, -0.730417)  (149, -0.816908)  (163, 2.15605)  (179, -0.608722) 
row 164: (148, -0.41082)  (150, -0.464079)  (164, 1.23529)  (180, -0.360388) 
row 165: (149, -0.592408)  (155, -0.648095)  (165, 1.8686)  (181, -0.628093) 
row 166: (150, -0.312391)  (151, -0.423536)  (166, 1.05614)  (182, -0.320214) 
row 167: (151, -0.302746)  (167, 0.97675)  (183, -0.241902)  (341, -0.432101) 
row 168: (152, -0.555647)  (168, 1.61407)  (184, -0.561835)  (185, -0.496584) 
row 169: (153, -0.543365)  (169, 1.50094)  (184, -0.413572)  (186, -0.544001) 
row 170: (154, -0.543283)  (170, 1.68364)  (185, -0.545443)  (187, -0.594914) 
row 171: (155, -0.532956)  (171, 1.67566)  (187, -0.538996)  (188, -0.603706) 
row 172: (156, -0.522646)  (172, 1.64836)  (186, -0.460023)  (189, -0.665693) 
row 173: (157, -0.466074)  (173, 1.22289)  (189, -0.332076)  (190, -0.424739) 
row 174: (158, -0.398616)  (174, 0.882849)  (190, -0.20905)  (191, -0.275183) 
row 175: (159, -0.247259)  (175, 0.979255)  (176, -0.294276)  (192, -0.43772) 
row 176: (160, -0.17692)  (175, -0.294276)  (176, 0.854386)  (193, -0.38319) 
row 177: (161, -0.504759)  (177, 1.59842)  (194, -0.563908)  (195, -0.529755) 
row 178: (162, -0.48844)  (178, 1.6217)  (195, -0.580668)  (196, -0.552592) 
row 179: (163, -0.608722)  (179, 1.73882)  (194, -0.600651)  (197, -0.529451) 
row 180: (164, -0.360388)  (180, 1.14287)  (196, -0.450153)  (198, -0.33233) 
row 181: (165, -0.628093)  (181, 1.92977)  (197, -0.722018)  (199, -0.57966) 
row 182: (166, -0.320214)  (182, 0.834285)  (198, -0.32005)  (200, -0.194021) 
row 183: (167, -0.241902)  (183, 1.04548)  (200, -0.448273)  (201, -0.355301) 
row 184: (168, -0.561835)  (169, -0.413572)  (184, 1.44748)  (202, -0.472074) 
row 185: (168, -0.496584)  (170, -0.545443)  (185, 1.53855)  (203, -0.496526) 
row 186: (169, -0.544001)  (172, -0.460023)  (186, 1.56679)  (204, -0.562761) 
row 187: (170, -0.594914)  (171, -0.538996)  (187, 1.60436)  (205, -0.47045) 
row 188: (171, -0.603706)  (188, 1.41922)  (199, -0.399254)  (206, -0.416263) 
row 189: (172, -0.665693)  (173, -0.332076)  (189, 1.63386)  (207, -0.636086) 
row 190: (173, -0.424739)  (174, -0.20905)  (190, 0.990076)  (208, -0.356288) 
row 191: (174, -0.275183)  (191, 0.782319)  (192, -0.219044)  (209, -0.288092) 
row 192: (175, -0.43772)  (191, -0.219044)  (192, 1.06631)  (504, -0.409549) 
row 193: (176, -0.38319)  (193, 0.728063)  (210, -0.134444)  (514, -0.210429) 
row 194: (177, -0.563908)  (179, -0.600651)  (194, 1.69274)  (211, -0.528177) 
row 195: (177, -0.529755)  (178, -0.580668)  (195, 1.56409)  (212, -0.453666) 
row 196: (178, -0.552592)  (180, -0.450153)  (196, 1.46782)  (213, -0.465071) 
row 197: (179, -0.529451)  (181, -0.722018)  (197, 1.86922)  (214, -0.617751) 
row 198: (180, -0.33233)  (182, -0.32005)  (198, 0.910685)  (215, -0.258305) 
row 199: (181, -0.57966)  (188, -0.399254)  (199, 1.48241)  (216, -0.503498) 
row 200: (182, -0.194021)  (183, -0.448273)  (200, 0.991728)  (217, -0.349434) 
row 201: (183, -0.355301)  (201, 0.717965)  (218, -0.143519)  (331, -0.219144) 
row 202: (184, -0.472074)  (202, 1.50825)  (219, -0.575921)  (220, -0.460259) 
row 203: (185, -0.496526)  (203, 1.60992)  (220, -0.59461)  (221, -0.518782) 
row 204: (186, -0.562761)  (204, 1.37466)  (219, -0.281322)  (222, -0.530576) 
row 205: (187, -0.47045)  (205, 1.78151)  (221, -0.69135)  (223, -0.619709) 
row 206: (188, -0.416263)  (206, 1.2943)  (223, -0.48936)  (224, -0.388679) 
row 207: (189, -0.636086)  (207, 1.58143)  (225, -0.477551)  (226, -0.467793) 
row 208: (190, -0.356288)  (208, 0.886224)  (209, -0.226501)  (226, -0.303435) 
row 209: (191, -0.288092)  (208, -0.226501)  (209, 1.00899)  (494, -0.494395) 
row 210: (15, -0.597441)  (193, -0.134444)  (210, 0.961873)  (227, -0.229989) 
row 211: (194, -0.528177)  (211, 1.20286)  (228, -0.276388)  (229, -0.398297) 
row 212: (195, -0.453666)  (212, 1.78973)  (228, -0.710066)  (230, -0.626001) 
row 213: (196, -0.465071)  (213, 1.46151)  (230, -0.508587)  (231, -0.48785) 
row 214: (197, -0.617751)  (214, 1.4968)  (229, -0.337093)  (232, -0.541958) 
row 215: (198, -0.258305)  (215, 0.902445)  (217, -0.256503)  (231, -0.387637) 
row 216: (199, -0.503498)  (216, 1.58721)  (224, -0.370042)  (233, -0.713665) 
row 217: (200, -0.349434)  (215, -0.256503)  (217, 1.02103)  (279, -0.415098) 
row 218: (0, -0.59744)  (201, -0.143519)  (218, 0.970949)  (234, -0.229989) 
row 219: (202, -0.575921)  (204, -0.281322)  (219, 1.2299)  (235, -0.372653) 
row 220: (202, -0.460259)  (203, -0.59461)  (220, 1.42547)  (236, -0.370597) 
row 221: (203, -0.518782)  (205, -0.69135)  (221, 1.79569)  (237, -0.585555) 
row 222: (204, -0.530576)  (222, 1.40111)  (225, -0.588407)  (238, -0.282129) 
row 223: (205, -0.619709)  (206, -0.48936)  (223, 1.65513)  (239, -0.546065) 
row 224: (206, -0.388679)  (216, -0.370042)  (224, 1.3311)  (240, -0.572379) 
row 225: (207, -0.477551)  (222, -0.588407)  (225, 1.77011)  (475, -0.704157) 
row 226: (207, -0.467793)  (208, -0.303435)  (226, 1.41621)  (484, -0.64498) 
row 227: (12, -0.484646)  (210, -0.229989)  (227, 0.782052)  (241, -0.0674168) 
row 228: (211, -0.276388)  (212, -0.710066)  (228, 1.58942)  (242, -0.602965) 
row 229: (211, -0.398297)  (214, -0.337093)  (229, 1.11931)  (243, -0.383916) 
row 230: (212, -0.626001)  (213, -0.508587)  (230, 1.8219)  (287, -0.687313) 
row 231: (213, -0.48785)  (215, -0.387637)  (231, 1.45683)  (282, -0.581343) 
row 232: (214, -0.541958)  (232, 1.27121)  (233, -0.321927)  (244, -0.407322) 
row 233: (216, -0.713665)  (232, -0.321927)  (233, 1.50039)  (245, -0.464799) 
row 234: (3, -0.484646)  (218, -0.229989)  (234, 0.782052)  (246, -0.0674165) 
row 235: (219, -0.372653)  (235, 1.24156)  (238, -0.488021)  (247, -0.380885) 
row 236: (220, -0.370597)  (236, 1.84567)  (247, -0.762529)  (248, -0.712542) 
row 237: (221, -0.585555)  (237, 1.44022)  (248, -0.387764)  (249, -0.466897) 
row 238: (222, -0.282129)  (235, -0.488021)  (238, 1.44277)  (465, -0.672622) 
row 239: (223, -0.546065)  (239, 1.6263)  (250, -0.627521)  (251, -0.452718) 
row 240: (224, -0.572379)  (240, 1.23538)  (251, -0.302942)  (252, -0.360062) 
row 241: (14, -0.472343)  (227, -0.0674168)  (241, 0.69907)  (253, -0.15931) 
row 242: (228, -0.602965)  (242, 1.46968)  (243, -0.220013)  (294, -0.646698) 
row 243: (229, -0.383916)  (242, -0.220013)  (243, 1.09783)  (254, -0.493903) 
row 244: (232, -0.407322)  (244, 1.0675)  (254, -0.316731)  (255, -0.343449) 
row 245: (233, -0.464799)  (245, 1.32689)  (255, -0.37021)  (256, -0.491883) 
row 246: (1, -0.472343)  (234, -0.0674165)  (246, 0.69907)  (257, -0.15931) 
row 247: (235, -0.380885)  (236, -0.762529)  (247, 1.83162)  (455, -0.688208) 
row 248: (236, -0.712542)  (237, -0.387764)  (248, 1.58687)  (258, -0.486559) 
row 249: (237, -0.466897)  (249, 1.34489)  (250, -0.533092)  (259, -0.344904) 
row 250: (239, -0.627521)  (249, -0.533092)  (250, 1.53888)  (260, -0.378265) 
row 251: (239, -0.452718)  (240, -0.302942)  (251, 1.15025)  (261, -0.394586) 
row 252: (240, -0.360062)  (252, 1.38777)  (256, -0.63908)  (262, -0.38863) 
row 253: (13, -0.293066)  (241, -0.15931)  (253, 0.506325)  (524, -0.0539489) 
row 254: (243, -0.493903)  (244, -0.316731)  (254, 1.46685)  (302, -0.656215) 
row 255: (244, -0.343449)  (245, -0.37021)  (255, 1.37005)  (310, -0.656395) 
row 256: (245, -0.491883)  (252, -0.63908)  (256, 1.79505)  (319, -0.66409) 
row 257: (2, -0.293066)  (246, -0.15931)  (257, 0.506325)  (288, -0.0539487) 
row 258: (248, -0.486559)  (258, 1.46809)  (259, -0.32807)  (446, -0.653457) 
row 259: (249, -0.344904)  (258, -0.32807)  (259, 1.07497)  (263, -0.402) 
row 260: (250, -0.378265)  (260, 1.04553)  (264, -0.37012)  (265, -0.297149) 
row 261: (251, -0.394586)  (261, 0.886697)  (262, -0.168888)  (266, -0.323223) 
row 262: (252, -0.38863)  (261, -0.168888)  (262, 1.01052)  (267, -0.453007) 
row 263: (259, -0.402)  (263, 1.36089)  (265, -0.397154)  (437, -0.561735) 
row 264: (260, -0.37012)  (264, 0.944988)  (266, -0.378769)  (268, -0.1961) 
row 265: (260, -0.297149)  (263, -0.397154)  (265, 0.90929)  (269, -0.214986) 
row 266: (261, -0.323223)  (264, -0.378769)  (266, 0.966003)  (270, -0.264012) 
row 267: (262, -0.453007)  (267, 1.14451)  (270, -0.181108)  (328, -0.510391) 
row 268: (264, -0.1961)  (268, 0.973625)  (269, -0.359774)  (271, -0.417751) 
row 269: (265, -0.214986)  (268, -0.359774)  (269, 0.982112)  (429, -0.407352) 
row 270: (266, -0.264012)  (267, -0.181108)  (270, 0.801855)  (272, -0.356735) 
row 271: (268, -0.417751)  (271, 1.00829)  (272, -0.228004)  (273, -0.362536) 
row 272: (270, -0.356735)  (271, -0.228004)  (272, 1.00307)  (338, -0.418334) 
row 273: (271, -0.362536)  (273, 0.723084)  (274, -0.142441)  (348, -0.218108) 
row 274: (9, -0.597441)  (273, -0.142441)  (274, 0.969871)  (275, -0.229989) 
row 275: (4, -0.484647)  (274, -0.229989)  (275, 0.782053)  (276, -0.0674169) 
row 276: (6, -0.472344)  (275, -0.0674169)  (276, 0.699071)  (277, -0.15931) 
row 277: (5, -0.293066)  (276, -0.15931)  (277, 0.506326)  (390, -0.053949) 
row 278: (0, -0.319979)  (1, -0.271323)  (278, 1.55576)  (280, -0.576388)  (281, -0.388069) 
row 279: (0, -0.367532)  (217, -0.415098)  (279, 1.97511)  (281, -0.662094)  (282, -0.530389) 
row 280: (278, -0.576388)  (280, 1.75515)  (283, -0.266027)  (284, -0.657665)  (285, -0.255072) 
row 281: (278, -0.388069)  (279, -0.662094)  (281, 2.19425)  (285, -0.753848)  (286, -0.390235) 
row 282: (231, -0.581343)  (279, -0.530389)  (282, 2.46474)  (286, -0.808633)  (287, -0.544379) 
row 283: (1, -0.24225)  (280, -0.266027)  (283, 1.27427)  (288, -0.279297)  (289, -0.486697) 
row 284: (280, -0.657665)  (284, 1.91839)  (289, -0.164715)  (290, -0.940386)  (291, -0.155623) 
row 285: (280, -0.255072)  (281, -0.753848)  (285, 1.99699)  (291, -0.740768)  (292, -0.247305) 
row 286: (281, -0.390235)  (282, -0.808633)  (286, 2.41464)  (292, -0.830549)  (293, -0.385222) 
row 287: (230, -0.687313)  (282, -0.544379)  (287, 2.64112)  (293, -0.875294)  (294, -0.53413) 
row 288: (257, -0.0539487)  (283, -0.279297)  (288, 1.00559)  (295, -0.442227)  (296, -0.230122) 
row 289: (283, -0.486697)  (284, -0.164715)  (289, 1.68852)  (296, -0.190378)  (297, -0.846732) 
row 290: (284, -0.940386)  (290, 3.86281)  (297, -0.185525)  (298, -0.17964) 
row 291: (284, -0.155623)  (285, -0.740768)  (291, 2.0284)  (298, -0.979444)  (299, -0.152562) 
row 292: (285, -0.247305)  (286, -0.830549)  (292, 2.09652)  (299, -0.774108)  (300, -0.24456) 
row 293: (286, -0.385222)  (287, -0.875294)  (293, 2.50229)  (300, -0.858213)  (301, -0.383558) 
row 294: (242, -0.646698)  (287, -0.53413)  (294, 2.57386)  (301, -0.872628)  (302, -0.5204) 
row 295: (2, -0.0544328)  (288, -0.442227)  (295, 1.00701)  (303, -0.283448)  (304, -0.226903) 
row 296: (288, -0.230122)  (289, -0.190378)  (296, 1.35493)  (304, -0.318445)  (305, -0.615983) 
row 297: (289, -0.846732)  (290, -0.185525)  (297, 3.81391)  (305, -0.205243) 
